index	city	country	description	location	state	state_abbrev	longitude	latitude	city_longitude	city_latitude	Audio Evidence	Audio Reasoning	Witness Count	Witness Reasoning	Event	apparition_types_str	apparition_adj_str	unique_apparition_mentions	Murder per capita	Violent Crime per capita	Property Crime per capita	Undergrad_Grad_Rate	HS_Grad_Rate	STEM_Grad_Percentage	Visual Evidence	Visual Reasoning	death_rate_Alzheimer's disease	death_rate_Cancer	death_rate_Heart disease	death_rate_Unintentional injuries	death_rate_All causes	death_rate_Influenza and pneumonia	death_rate_Suicide	death_rate_Kidney disease	death_rate_CLRD	death_rate_Diabetes	Haunted Places Date	Alcohol Deaths	Alcohol Deaths Under 21	State	time_of_day	Daylight Data USNO Navy	Daylight Data TimeandDate	Image Path	objects	caption	spacy_entities	GeoName_Count	Geographic_LATITUDE	Geographic_LONGITUDE	Geographic_NAME	Optional_LATITUDE1	Optional_LATITUDE2	Optional_LATITUDE3	Optional_LATITUDE4	Optional_LONGITUDE1	Optional_LONGITUDE2	Optional_LONGITUDE3	Optional_LONGITUDE4	Optional_NAME1	Optional_NAME2	Optional_NAME3	Optional_NAME4
0	Ada	United States	"Ada witch - Sometimes you can see a misty blue figure floating within a 3-mile radius of the Ada Cemetery on 2 Mile between Egypt Valley and Honey Creek. The story of her origin is as follows: A man suspected his wife of having an affair, so he followed her late one night when she thought he was asleep. Sure enough, she went to a field near their property where she met her lover. The husband was enraged and killed his wife, which resulted in a struggle with the other man. Both men died from their injuries. It is said that late at night (especially during the night of and the nights preceding a full moon) people driving by the field can see her ghost, searching for her lover. Some people have reported stopping to try to communicate with her, but she always disappears or runs into the woods where she cannot be followed (due to the thick brambles that inhabit the area). She is said to dress in a long white gown which authorities say dates her to the turn of the 20th century. Usually she is seen alone, but sometimes witnesses report seeing a ghostly death scene re-enacted... Others report seeing nothing at all but hearing the killer's shouts of rage followed by the victims' screams of agony... Although it is said she haunts the field on Honeycreek Road where she died, other witnesses have reported her in nearby Seidman Park, and in nearby Findlay Cemetery, where she is supposedly buried. This story was actually featured in the book ""Ghosts of Grand Rapids."""	Ada Cemetery	Michigan	MI	-85.50489309999999	42.9621061	-85.4954803	42.960727	Yes	The description includes reports of hearing the killer's shouts of rage and the victims' screams of agony, which are explicitly linked to supernatural presence and qualify as audio evidence of paranormal activity.	3+	"The description mentions ""Some people have reported"" trying to communicate with the ghost, which implies at least two witnesses. Additionally, it states that ""others report seeing nothing at all,"" indicating that there are multiple individuals who have had experiences related to the ghost. Furthermore, the mention of witnesses in different locations (Seidman Park and Findlay Cemetery) suggests that there are at least three distinct accounts of sightings or experiences. Therefore, the count"	Murder	ghost figure witch	misty figure, blue figure	3	1.0352189867422323e-05	0.0006024515605244	0.0017813819774861	62.0%	84.1%	22.0%	False	The description does not mention any existing images, videos, or photographic evidence of the paranormal activity related to the Ada witch. It discusses sightings and experiences but does not provide any explicit claims of recorded evidence.	23.99473684210526	184.52105263157893	228.53157894736844	37.63157894736842	821.4	17.089473684210525	11.773684210526316	15.13684210526316	44.742105263157896	25.23684210526316	1/14/2013	2208.0	3.9%	Michigan	Dusk	09:05	No data found	C:\Users\Austin\Desktop\DSCI 550\Homework 2\DescPics\image_1.png	zebra, ski, chain saw, chainsaw, accordion, piano accordion, squeeze box, shovel	a black and white photo of a person holding an umbrella	"Ada witch -, PERSON
3-mile, QUANTITY
the Ada Cemetery, FAC
2 Mile, QUANTITY
Egypt Valley, LOC
Honey Creek, GPE
late one night, TIME
late at night, TIME
the night, TIME
the 20th century, DATE
Honeycreek Road, FAC
Seidman Park, GPE
Findlay Cemetery, FAC
""Ghosts of Grand Rapids, WORK_OF_ART

"	2				43.0125	43.00142			-85.50056	-85.49169			Egypt Valley Country Club	Findlay Cemetery		
1	Addison	United States	A little girl was killed suddenly while waiting for a school bus by a speeding car. Since her death things have happened. The day of her funeral she started knocking on doors of the house she was born in.1 month later as her clothes were to be removed the doors in the home flew open with no reason. Cold spots now can be felt & knocking at the door is still present to this day in the home. Also when there swings in the yard you could see them swing real high as if someone was swinging on them. lights like to go on & off in this home & she does move things to let someone know she is there. The cemetery where this child lies has had alot of activity also. When you visit her grave she has a twirly that will start going around & round with no reason or wind blowing to let you know she is present. Some have said she has been spotted walking the cemetery very restless as if she doesn't realize she has passed on.	North Adams Rd.	Michigan	MI	-84.3818434	41.9714248	-84.3471684	41.986434	Yes	The description includes instances of knocking at the door, which is explicitly linked to the presence of the little girl, as well as the mention of swings moving without any apparent cause. These sounds and movements are associated with her supernatural presence, indicating audio evidence of paranormal activity.	3+	"The description mentions several instances of paranormal activity that imply multiple witnesses. The knocking on doors, cold spots, swinging swings, and lights turning on and off suggest that more than one person has experienced these phenomena. Additionally, it mentions that ""some have said"" the girl has been spotted in the cemetery, indicating that at least a couple of people have witnessed her presence there. Therefore, while the exact number of witnesses is not specified, it is"	Murder	Unknown		1	1.0352189867422323e-05	0.0006024515605244	0.0017813819774861	62.0%	84.1%	22.0%	False	The description details various paranormal activities and experiences related to the little girl, but it does not mention any existing images, videos, or photographic evidence of these occurrences.	23.99473684210526	184.52105263157893	228.53157894736844	37.63157894736842	821.4	17.089473684210525	11.773684210526316	15.13684210526316	44.742105263157896	25.23684210526316	1/1/2025	2208.0	3.9%	Michigan	Dusk	11:22	No data found	C:\Users\Austin\Desktop\DSCI 550\Homework 2\DescPics\image_2.png	picket fence, paling, worm fence, snake fence, snake-rail fence, Virginia fence, mailbox, letter box	a row of wooden park benches sitting next to each other .	"month later, DATE
this day, DATE

"	0															
2	Adrian	United States	If you take Gorman Rd. west towards Sand Creek, you will come to a gravel road leading north. A mile or so up this road you will come to narrow one lane trestle bridge. The road goes under this. Legend has it that at one time there was a farm house built near the tracks. Late one night a fire broke out in the barn. While the father ran to the barn to try to get the horses out, his wife and young son went to the tracks to wave down one of the many trains that would use that right of way. They were too close to the tracks however and both were struck by the train as it went past. The father was killed in the barn. Now if you go out there late at night, you can sometimes communicate with the Father. He will not allow you to talk to his wife or son; as if he was protecting them . There are other people living in the area now, and a large streetlight has been placed there by the people who own the neighboring land. If you stay there to long, they will call the police. However if you make your visit short enough they will usually leave you to it. This place has also been described as a good place to go to contact other spirits. The Father can be asked to help in this matter. He will not allow antagonistic spirits to talk however; once again to protect his family.	Ghost Trestle	Michigan	MI	-84.03565619999999	41.904538	-84.03716589999999	41.8975471	No	The description does not mention any specific sounds or audio evidence linked to paranormal activity, such as whispers, voices, or other supernatural noises. It focuses on the legend and the possibility of communication without detailing any auditory experiences.	2+	"The narrative describes a tragic event where the father, wife, and son were involved in a fatal incident. While it does not explicitly state that anyone witnessed the event, it implies that the wife and son were present on the tracks when the train struck them, which suggests they were witnesses to their own fate. Additionally, the mention of ""other spirits"" and the ability to communicate with the Father indicates that there may be more than just the immediate"	Murder	spirit		1	1.0352189867422323e-05	0.0006024515605244	0.0017813819774861	62.0%	84.1%	22.0%	False	The description does not mention any existing images, videos, or photographic evidence of paranormal activity. It discusses legends and experiences but does not provide any explicit references to recorded visual evidence.	23.99473684210526	184.52105263157893	228.53157894736844	37.63157894736842	821.4	17.089473684210525	11.773684210526316	15.13684210526316	44.742105263157896	25.23684210526316	9/22/2006	2208.0	3.9%	Michigan	Evening	11:16	No data found	C:\Users\Austin\Desktop\DSCI 550\Homework 2\DescPics\image_3.png	valley, vale, viaduct, dam, dike, dyke, alp, maze, labyrinth	a train traveling through a lush green countryside .	"Gorman Rd, PERSON
Sand Creek, FAC
A mile, QUANTITY
one, CARDINAL
one, CARDINAL
Late one night, TIME
one, CARDINAL
late at night, TIME

"	0															
3	Adrian	United States	In the 1970's, one room, room 211, in the old section of the dorms exhibited several phenomena. Don't know if this still continues today. The door into the room from the hallway, as well as the door into the bathroom, would open and shut on their own, the main door even if it had been locked. After closing, it would be locked again. There was also a spot on one wall (a wall that the room shared with a boarded up, no longer used laundry shaft) where two points of light would appear, shaped similar to eyes. Attempts were made to explain their appearance (they were visible any time it was dark in the room). They were screened off from the windows to see if they might be reflections, they weren't. When objects were placed between them and the windows they actually became brighter. We tried painting the walls, putting several coats of paint over them (thinking they may have been a joke of a previous resident, made with glow in the dark paint) - also having used sandpaper on the wall in that spot first before painting. They still appeared bright as ever after the painting. We tried covering them over by hanging a picture over them, but the picture kept falling down or moving. Last attempt to hang picture (it was a drawing on a piece of paper and simply taped to the wall) resulted in us waking up the next morning to find it taped to the ceiling over my bed. We finally moved a tall dresser in front of it and that seemed to take care of it. Reports from later residents told us that they had placed a mirror over it, and they had a rocker in the room. One night during a party, with several witnesses, the rocker began rocking on its own, then flew back and smashed the mirror. Have had no contact with the school since graduation, so don't know if these things still happen or not.	Siena Heights University	Michigan	MI	-84.0175653	41.9057124	-84.03716589999999	41.8975471	No	The description details various phenomena such as doors opening and closing on their own, lights appearing, and a rocking chair moving, but it does not mention any explicit audio evidence linked to a supernatural presence, such as whispers, voices, or unexplained sounds.	3+	"The text mentions ""several witnesses"" during a party when the rocking chair began to rock on its own and subsequently smashed the mirror. This indicates that at least three people witnessed this specific event. Additionally, the use of ""several"" suggests there could be more than three, hence the count is presented as ""3+"". The narrator also describes their own experiences, but since the focus is on the witnesses during the party, the count reflects"	Supernatural	Unknown		1	1.0352189867422323e-05	0.0006024515605244	0.0017813819774861	62.0%	84.1%	22.0%	False	The description details various paranormal phenomena and experiences but does not mention any existing images, videos, or photographic evidence of these occurrences. There are no references to recorded footage or photographs that capture the described events.	23.99473684210526	184.52105263157893	228.53157894736844	37.63157894736842	821.4	17.089473684210525	11.773684210526316	15.13684210526316	44.742105263157896	25.23684210526316	3/1/1900	2208.0	3.9%	Michigan	Unknown	11:45	No data found	C:\Users\Austin\Desktop\DSCI 550\Homework 2\DescPics\image_4.png	studio couch, day bed, crib, cot, radiator, prison, prison house, quilt, comforter, comfort, puff	a bedroom with a bed and a window	"1970, DATE
one, CARDINAL
211, CARDINAL
today, DATE
one, CARDINAL
two, CARDINAL
first, ORDINAL
us, GPE
the next morning, TIME
One night, TIME

"	0															
4	Albion	United States	"Kappa Delta Sorority - The Kappa Delta Sorority is haunted by an entity simply known as 'P'. It is said she was a sister there who died in a car accident. Current sisters there have reported hearing giggling and running around coming from the upstairs floor while they are in the basement. At one time a sister called out to ""P"" and received a ""hello"" in reply."	Albion College	Michigan	MI	-84.7451775	42.2440064	-84.7530304	42.243097	Yes	"The description includes reports of giggling and a disembodied ""hello"" in response to a call, both of which are explicitly linked to a supernatural presence."	2+	"The description mentions ""Current sisters there have reported hearing giggling and running around coming from the upstairs floor while they are in the basement,"" indicating that multiple sisters (at least two) have experienced these phenomena. Additionally, the mention of a sister calling out to ""P"" and receiving a ""hello"" in reply suggests at least one more witness to that specific interaction. Therefore, the count of witnesses is at least 2, but it could"	Supernatural	entity		1	1.0352189867422323e-05	0.0006024515605244	0.0017813819774861	62.0%	84.1%	22.0%	False	The description does not mention any existing images, videos, or photographic evidence of paranormal activity. It only discusses auditory experiences and personal interactions with the entity.	23.99473684210526	184.52105263157893	228.53157894736844	37.63157894736842	821.4	17.089473684210525	11.773684210526316	15.13684210526316	44.742105263157896	25.23684210526316	1/1/2025	2208.0	3.9%	Michigan	Evening	09:10	No data found	C:\Users\Austin\Desktop\DSCI 550\Homework 2\DescPics\image_5.png	library, palace, planetarium, dome, flagpole, flagstaff	a fire hydrant in front of a brick building .	"Kappa Delta Sorority - The Kappa Delta Sorority, ORG
one, CARDINAL

"	0															
5	Albion	United States	A mysterious lady in white has been spotted in this cemetery.	Riverside Cemetery	Michigan	MI	-84.7530555	42.2368139	-84.7530304	42.243097	No	The description only mentions a sighting of a mysterious lady in white and does not include any audio evidence or sounds explicitly linked to paranormal activity.	0	"The description states that ""A mysterious lady in white has been spotted in this cemetery,"" but it does not specify who spotted her. There is no indication of any witnesses, including the narrator, as there is no personal experience mentioned (e.g., ""I saw"" or ""I witnessed""). Therefore, the candidate witness count of ""0"" is accurate."	Supernatural	Unknown		1	1.0352189867422323e-05	0.0006024515605244	0.0017813819774861	62.0%	84.1%	22.0%	False	The description mentions sightings of a mysterious lady in white but does not provide any explicit evidence of photos, videos, or recorded footage capturing this paranormal activity.	23.99473684210526	184.52105263157893	228.53157894736844	37.63157894736842	821.4	17.089473684210525	11.773684210526316	15.13684210526316	44.742105263157896	25.23684210526316	1/1/2025	2208.0	3.9%	Michigan	Unknown	09:10	No data found	C:\Users\Austin\Desktop\DSCI 550\Homework 2\DescPics\image_6.png	picket fence, paling, abaya, cloak, worm fence, snake fence, snake-rail fence, Virginia fence, megalith, megalithic structure	a group of people standing next to each other .	"
"	0															
6	Algoma Township	United States	On a winding dirt road next to the Rogue River called Friske, there is a small turn-around for no particular reason. On this turn-around, there is a trail that leads off a ways into the woods. If you follow the trail, it leads to an old iron bridge called Hell's Bridge. It is said that if you are sitting or standing on the bridge at midnight you can hear the devil laughing. The reason is, in the 1800's, when Algoma didn't really exist and Rockford was known as Laphamville, a man named Elias Friske murdered several children and claimed a demon made him do it. Later the bodies were found in the part of the river where the bridge is now. Sometimes you can also hear the children crying, @r the noise of splashing water where their bodies were thrown. Some fishermen in the early morning have reported seeing a strange figure near the bridge...	Hell's Bridge	Michigan	MI			-85.62292959999999	43.1492928	Yes	"The description includes explicit mentions of sounds linked to supernatural presence, such as ""the devil laughing"" and ""the children crying,"" which are directly associated with paranormal activity."	2+	"The description mentions that ""some fishermen in the early morning have reported seeing a strange figure near the bridge,"" which implies that at least two fishermen witnessed this event. Since ""some"" suggests there could be more than two, I have indicated a floor estimate of 2+. Additionally, there are references to the sounds of children crying and the devil laughing, but these do not specify witnesses, so they do not contribute to the count."	Murder	demon figure	strange figure	2	1.0352189867422323e-05	0.0006024515605244	0.0017813819774861	62.0%	84.1%	22.0%	False	The description does not mention any existing images, videos, or photographic evidence of paranormal activity. It only discusses sounds and sightings without any reference to recorded visual evidence.	23.99473684210526	184.52105263157893	228.53157894736844	37.63157894736842	821.4	17.089473684210525	11.773684210526316	15.13684210526316	44.742105263157896	25.23684210526316	1/1/2025	2208.0	3.9%	Michigan	Dusk	09:04	No data found	C:\Users\Austin\Desktop\DSCI 550\Homework 2\DescPics\image_7.png	viaduct	a red fire hydrant sitting in the middle of a forest .	"the Rogue River, LOC
Friske, ORG
Hell's Bridge, ORG
midnight, TIME
1800, DATE
Algoma, PERSON
Rockford, GPE
Laphamville, PERSON
Elias Friske, PERSON
early morning, TIME

"	1	42.43595	-123.172	Rogue River												
7	Algonac	United States	Morrow Road is a Haunted road in Algonac Michigan near Harsens Island. In the 1800's a woman lost here child on that road and is still looking for her today. At night people see strange glowing orbs floating down the road and through the woods. Some see the lady walking by the side of the road in an 1800's dress covered in blood. Still others have reported seeing her hanging from a tree by a noose. The road has been on the popular show Unsolved Mysteries as well as several local news channels. Now there is a movie being made about the road. the story behind the road is a woman went out in the middle of the night to find her toddler that had somehow got out alone in the winter they both froze to death, it is a fact that if you park on the bridge at midnight and honk your horn three times she will appear and see if you have her baby. She is also said to be wearing a white blood covered gown carrying her dead baby. Also a green light will chase people away.-  www.morrowroad.com	Morrow Road	Michigan	MI	-82.5762902	42.6529969	-82.531018	42.6183675	No	The description provides a narrative about sightings and visual phenomena related to a ghostly figure but does not mention any specific sounds that are explicitly linked to a supernatural presence, such as whispers or disembodied voices.	3+	"The description mentions that ""people see strange glowing orbs"" and ""some see the lady walking by the side of the road,"" indicating multiple witnesses have reported these experiences. Additionally, it states that ""still others have reported seeing her hanging from a tree,"" which implies at least three distinct groups of witnesses. Since the exact number is not specified, I have assigned a floor estimate of 3+, indicating that there may be more witnesses beyond those"	Death	orb		1	1.0352189867422323e-05	0.0006024515605244	0.0017813819774861	62.0%	84.1%	22.0%	False	The description mentions sightings of glowing orbs and a ghostly figure, but it does not provide any explicit evidence of photos, videos, or recorded footage capturing these phenomena. There are no claims of visual evidence being documented or available.	23.99473684210526	184.52105263157893	228.53157894736844	37.63157894736842	821.4	17.089473684210525	11.773684210526316	15.13684210526316	44.742105263157896	25.23684210526316	3/1/2001	2208.0	3.9%	Michigan	Unknown	09:07	No data found	C:\Users\Austin\Desktop\DSCI 550\Homework 2\DescPics\image_8.png	snowplow, snowplough, chainlink fence, worm fence, snake fence, snake-rail fence, Virginia fence, fountain, car mirror	a fire hydrant in the middle of a forest .	"Morrow Road, WORK_OF_ART
Michigan, GPE
Harsens Island, LOC
1800, DATE
today, DATE
night, TIME
1800, DATE
Unsolved Mysteries, ORG
midnight, TIME
three, CARDINAL

"	2				42.58948	-38.2			-82.58852	146.33333			Harsens Island	Haunted Hills		
8	Allegan	United States	"People report hearing footsteps, and doors slamming where there are no doors, a small child's voice say ""Mama?"""	Elks Lodge	Michigan	MI	-85.84159919999999	42.520552	-85.8553031	42.5291989	Yes	"The description includes reports of disembodied footsteps and a child's voice saying ""Mama?"", both of which are explicitly linked to supernatural presence and qualify as audio evidence of paranormal activity."	0	The description provided does not indicate that anyone explicitly witnessed the paranormal events. It mentions reports of footsteps and a child's voice, but it does not specify who made these reports or imply that there were witnesses present. Since there are no direct statements of personal experience or indications of multiple witnesses, the count remains at zero.	Supernatural	Unknown		1	1.0352189867422323e-05	0.0006024515605244	0.0017813819774861	62.0%	84.1%	22.0%	False	There is no mention of any visual evidence such as photos, videos, or recorded footage in this description. It only discusses auditory experiences.	23.99473684210526	184.52105263157893	228.53157894736844	37.63157894736842	821.4	17.089473684210525	11.773684210526316	15.13684210526316	44.742105263157896	25.23684210526316	6/1/2008	2208.0	3.9%	Michigan	Unknown	09:08	No data found	C:\Users\Austin\Desktop\DSCI 550\Homework 2\DescPics\image_9.png	prison, prison house, guillotine, sliding door, umbrella	a black and white photo of a man and a woman	"
"	0															
9	Allegan	United States	Various ghostly activities. News coverage about these hauntings every year around Halloween time, on the local channels.	The Grill House and the Rock Bottom Bar	Michigan	MI	-85.8575642	42.4977621	-85.8553031	42.5291989	No	The description does not mention any specific sounds or audio evidence related to paranormal activity; it only refers to ghostly activities and news coverage without detailing any auditory experiences.	0	"The description mentions ""various ghostly activities"" and ""news coverage about these hauntings every year around Halloween time,"" but it does not explicitly state that anyone witnessed these events. There are no phrases indicating personal experiences or observations, such as ""I saw"" or ""I witnessed."" Therefore, there is no evidence of any witnesses to the paranormal events described, leading to a count of 0."	Supernatural	Unknown		1	1.0352189867422323e-05	0.0006024515605244	0.0017813819774861	62.0%	84.1%	22.0%	False	The description mentions news coverage about hauntings but does not explicitly state that any photos, videos, or recorded footage of paranormal activity exist.	23.99473684210526	184.52105263157893	228.53157894736844	37.63157894736842	821.4	17.089473684210525	11.773684210526316	15.13684210526316	44.742105263157896	25.23684210526316	1/1/2025	2208.0	3.9%	Michigan	Dusk	09:08	No data found	C:\Users\Austin\Desktop\DSCI 550\Homework 2\DescPics\image_10.png	sweatshirt, poncho, handkerchief, hankie, hanky, hankey, lab coat, laboratory coat, cloak	a group of baseball bats sitting next to each other .	"Halloween, DATE

"	0															
