city,state,city_longitude,city_latitude,Audio Evidence,Witness Count,Event,apparition_types_str,apparition_adj_str,unique_apparition_mentions,Visual Evidence,time_of_day
Ada,Michigan,-85.4954803,42.960727,Yes,3+,Murder,ghost figure witch,"misty figure, blue figure",3,False,Dusk
Addison,Michigan,-84.3471684,41.986434,Yes,3+,Murder,Unknown,,0,False,Dusk
Adrian,Michigan,-84.03716589999999,41.8975471,No,2+,Murder,spirit,,1,False,Evening
Adrian,Michigan,-84.03716589999999,41.8975471,No,3+,Supernatural,Unknown,,0,False,Unknown
Albion,Michigan,-84.7530304,42.243097,Yes,2+,Supernatural,entity,,1,False,Evening
Albion,Michigan,-84.7530304,42.243097,No,0,Supernatural,Unknown,,0,False,Unknown
Algoma Township,Michigan,-85.62292959999999,43.1492928,Yes,2+,Murder,demon figure,strange figure,2,False,Dusk
Algonac,Michigan,-82.531018,42.6183675,No,3+,Death,orb,,1,False,Unknown
Allegan,Michigan,-85.8553031,42.5291989,Yes,0,Supernatural,Unknown,,0,False,Unknown
Allegan,Michigan,-85.8553031,42.5291989,No,0,Supernatural,Unknown,,0,False,Dusk
Allegan,Michigan,-85.8553031,42.5291989,No,2+,Unknown,Unknown,,0,False,Dusk
Alma,Michigan,-84.6597274,43.3789199,Yes,4,Supernatural,ghost figure,ghostly figure,2,False,Evening
Alpena,Michigan,-83.4327528,45.0616794,Yes,3+,Unknown,Unknown,,0,False,Dusk
Ann Arbor,Michigan,-83.7430378,42.2808256,No,3+,Supernatural,Unknown,,0,False,Evening
Ann Arbor,Michigan,-83.7430378,42.2808256,No,0,Supernatural,Unknown,,0,False,Morning
Assininns,Michigan,-88.4773517,46.81020950000001,No,3+,Supernatural,apparition,,1,False,Dusk
Atlanta,Michigan,-84.1438927,45.00473059999999,Yes,3+,Supernatural,ghost demon orb,,3,True,Evening
Augusta,Michigan,-85.35222189999999,42.3364294,Yes,5+,Supernatural,Unknown,,0,False,Unknown
Battle Creek,Michigan,-85.17971419999999,42.3211522,Yes,0,Supernatural,presence,"unpleasant presence, cold presence",1,False,Unknown
Battle Creek,Michigan,-85.17971419999999,42.3211522,No,1+,Unknown,Unknown,,0,False,Dusk
Bay City,Michigan,-83.8888647,43.5944677,Yes,0,Supernatural,apparition,,1,False,Unknown
Bay City,Michigan,-83.8888647,43.5944677,No,2+,Unknown,Unknown,,0,False,Dusk
