state,Murder per capita,Violent Crime per capita,Property Crime per capita,Undergrad_Grad_Rate,HS_Grad_Rate,STEM_Grad_Percentage,death_rate_Alzheimer's disease,death_rate_Cancer,death_rate_Heart disease,death_rate_Unintentional injuries,death_rate_All causes,death_rate_Influenza and pneumonia,death_rate_Suicide,death_rate_Kidney disease,death_rate_CLRD,death_rate_Diabetes
Michigan,1.0352189867422323e-05,0.0006024515605244,0.0017813819774861,62.0%,84.1%,22.0%,23.99473684210526,184.52105263157893,228.53157894736844,37.63157894736842,821.4,17.089473684210525,11.773684210526316,15.13684210526316,44.742105263157896,25.23684210526316
Pennsylvania,1.5770982334252062e-05,0.0005509589602206,0.0021858212363541,67.0%,86.5%,21.0%,19.242105263157896,185.64736842105265,211.65263157894736,43.51578947368421,810.0894736842106,16.68421052631579,12.031578947368422,17.80526315789474,38.7578947368421,22.65263157894737
California,5.39816894109518e-06,0.0002720217630877,0.001478766164843,64.1%,84.5%,23.0%,26.67368421052632,160.66842105263157,185.4684210526316,29.71578947368421,691.1315789473684,19.93684210526316,9.889473684210529,7.821052631578947,38.64736842105263,21.56842105263157
Massachusetts,3.711876786010929e-06,0.0004496095117891,0.0013528594494971,73.5%,88.0%,22.0%,20.321052631578947,177.67894736842106,169.0842105263158,30.489473684210523,722.5631578947368,20.88421052631579,7.636842105263158,16.442105263157895,35.03157894736842,16.521052631578947
Arkansas,2.2696850310577365e-05,0.0014284940129579,0.0045869337458412,46.9%,87.6%,22.0%,26.626315789473683,197.42631578947368,241.6368421052632,48.72105263157895,920.4,23.8,15.410526315789474,19.9,54.178947368421056,26.54736842105263
Oregon,8.13746010553145e-06,0.0005806876321101,0.0042915025295332,62.4%,80.0%,19.0%,29.31578947368421,177.6263157894737,158.10526315789474,40.0,761.2526315789473,12.536842105263156,16.094736842105263,8.052631578947368,45.26315789473684,25.38421052631579
Arizona,5.500950677974615e-06,0.0003561907364525,0.0020320124850895,26.3%,77.8%,13.0%,31.44210526315789,157.28947368421052,170.23157894736843,49.242105263157896,732.9157894736842,16.652631578947368,16.678947368421053,8.38421052631579,45.1578947368421,21.468421052631577
Maryland,4.492784247274757e-05,0.001672419452572,0.00346403565177,68.3%,86.9%,30.0%,16.91578947368421,179.9421052631579,202.8842105263158,27.126315789473683,783.5263157894736,19.01052631578948,8.963157894736844,12.589473684210526,35.31578947368421,23.53684210526316
Oklahoma,,,,46.3%,84.9%,21.0%,26.242105263157896,193.32631578947368,260.03684210526313,56.31052631578948,936.8157894736842,21.18947368421053,16.378947368421052,14.552631578947368,60.74736842105264,29.668421052631583
Maine,,,,58.1%,87.4%,20.0%,28.473684210526315,191.01052631578943,176.2421052631579,42.63157894736842,789.3421052631579,16.889473684210525,13.9,14.542105263157897,49.74736842105264,22.910526315789475
Alaska,,,,26.4%,80.4%,23.0%,21.7,177.00526315789477,161.20526315789473,56.87894736842105,774.2736842105263,14.2,21.889473684210525,10.56842105263158,43.37894736842105,22.105263157894736
Louisiana,4.1153813013548266e-05,0.0007355059147083,0.0040873679433305,49.8%,80.1%,19.0%,32.39473684210526,202.5894736842105,242.52105263157893,51.78947368421053,943.9368421052632,20.426315789473687,12.26842105263158,24.88421052631579,42.810526315789474,32.62105263157895
Alabama,,,,51.8%,91.7%,21.0%,31.31578947368421,194.7736842105263,254.44736842105263,50.95263157894737,962.2578947368422,21.178947368421053,13.273684210526316,20.957894736842103,52.51052631578948,26.4
Ohio,1.4691778245825184e-05,0.0004829770516475,0.0018592748533769,58.4%,82.0%,21.0%,26.74736842105263,192.4578947368421,218.26315789473685,43.08421052631579,855.5157894736842,17.3,11.773684210526316,14.989473684210529,49.8421052631579,28.057894736842105
New Jersey,8.05096583411629e-07,0.0001185504719073,0.0006146912414347,66.3%,90.6%,25.0%,17.673684210526318,176.17894736842106,202.57368421052632,29.831578947368417,737.2157894736843,15.342105263157896,7.094736842105264,15.978947368421052,31.63684210526316,23.30526315789474
North Dakota,,,,52.1%,88.3%,22.0%,34.2,164.90526315789472,172.2736842105263,40.22631578947368,721.2052631578947,16.836842105263155,14.605263157894736,9.889473684210529,37.96315789473684,24.489473684210527
Wyoming,3.1471061063484903e-06,0.0002773155851358,0.0029519855277548,58.2%,82.1%,34.0%,24.86315789473684,165.18421052631578,181.49473684210523,56.90526315789474,793.1,22.431578947368426,21.7,11.38421052631579,59.61052631578947,22.021052631578947
North Carolina,8.808068589684087e-06,0.000453003651103,0.002745261954075,61.9%,86.5%,23.0%,29.157894736842103,182.8368421052632,196.5052631578948,46.06842105263158,841.8736842105263,20.48421052631579,12.26842105263158,17.594736842105263,46.526315789473685,24.51578947368421
Kentucky,1.3932535343160513e-05,0.0004898766053817,0.003036667064189,49.2%,90.6%,18.0%,29.589473684210528,210.1578947368421,238.54736842105265,57.18421052631579,942.8157894736842,23.110526315789475,14.473684210526317,20.67368421052632,60.978947368421046,27.36315789473684
Kansas,,,,53.4%,87.2%,19.0%,23.410526315789475,175.83684210526317,184.33157894736843,42.57368421052632,794.221052631579,19.55263157894737,14.157894736842104,17.0,49.810526315789474,22.478947368421053
New York,4.8004665116241305e-06,0.0004291036755281,0.0008264417214919,66.0%,82.8%,19.0%,10.142105263157896,168.03684210526316,227.4526315789473,26.357894736842105,708.4473684210526,22.51578947368421,7.1157894736842096,10.852631578947369,32.02105263157895,18.30526315789474
Wisconsin,2.015765152413205e-05,4.422478134764637e-05,0.0001415421850634,63.2%,90.1%,21.0%,24.1,175.6578947368421,183.1368421052632,43.59473684210526,748.6789473684211,16.757894736842104,12.68421052631579,14.347368421052632,39.352631578947374,20.157894736842103
Iowa,,,,68.5%,91.6%,20.0%,27.478947368421053,176.10526315789474,188.3368421052632,37.76315789473684,745.3157894736842,19.057894736842105,12.18421052631579,7.452631578947368,46.352631578947374,20.626315789473683
West Virginia,,,,47.0%,91.3%,18.0%,24.26315789473684,202.7894736842105,239.01052631578943,63.41578947368421,963.2105263157896,20.594736842105263,15.457894736842103,19.88421052631579,61.531578947368416,34.48421052631579
New Mexico,1.3797833126962038e-05,1.3797833126962038e-05,0.0,43.6%,75.1%,23.0%,18.93684210526316,155.95263157894738,169.7736842105263,64.56842105263158,779.2947368421053,17.48421052631579,20.04736842105263,12.3,46.63157894736842,29.526315789473685
Washington,5.823344058525248e-06,0.0005361773192724,0.004520990184237,69.3%,81.1%,23.0%,40.98421052631579,173.9421052631579,166.13684210526316,38.8421052631579,730.6842105263158,13.147368421052631,13.789473684210526,6.278947368421052,43.526315789473685,23.473684210526315
